FOODID;EUFDNAME;BESTLOC;ACQTYPE;METHTYPE
1;ENERC;1698,30;S;S
1;CHOAVL;99,900;S;S
1;FAT;0;F;E
1;PROT;0;L;P
1;ALC;0;F;U
1;FIBC;0;S;U
1;OA;0;S;IG
1;SUGOH;0;S;U
1;STARCH;0;S;U
1;SUGAR;99,900;S;S
1;FRUS;0;S;IG
1;GALS;0;S;U
1;GLUS;0;S;IG
1;LACS;0;S;U
1;MALS;0;S;IG
1;SUCS;99,900;S;CG
1;PSACNCS;0;S;U
1;FIBINS;0;S;S
1;FOL;0;F;E
1;NIAEQ;0;F;E
1;NIA;0;S;I
1;VITPYRID;0;S;S
1;RIBF;0;F;E
1;THIA;0;F;E
1;VITB12;0;F;E
1;VITC;0;F;E
1;VITA;0;S;S
1;CAROTENS;0;S;S
1;VITD;0;F;E
1;VITE;0;S;S
1;VITK;0;S;IG
1;CA;0,40;F;E
1;FE;0,060;F;E
1;ID;5,00;F;E
1;K;2,00;F;E
1;MG;0,100;F;E
1;NA;0,10;F;E
1;NACL;0,25;S;T
1;P;0,1;F;E
1;SE;0,500;D;AG
1;ZN;0,010;F;E
1;FAFRE;0;S;S
1;FAPU;0;S;S
1;FAMCIS;0;S;S
1;FASAT;0;S;S
1;FATRN;0;S;S
1;FAPUN3;0;S;S
1;FAPUN6;0;S;S
1;F18D2CN6;0;S;U
1;F18D3N3;0;S;U
1;F20D5N3;0;S;U
1;F22D6N3;0;S;U
1;TRP;0;S;IG
1;CHOLE;0;S;IG
1;STERT;0;S;S
2;ENERC;1696,60;S;S
2;CHOAVL;99,800;S;S
2;FAT;0;F;E
2;PROT;0;S;S
2;ALC;0;F;E
2;FIBC;0;S;U
2;OA;0;S;IG
2;STARCH;0;S;U
2;SUGAR;99,800;S;S
2;FRUS;99,800;E;E
2;GLUS;0;S;U
2;LACS;0;S;U
2;MALS;0;S;U
2;SUCS;0;S;U
2;PSACNCS;0;S;U
2;FIBINS;0;S;S
2;FOL;0;F;E
2;NIAEQ;0;F;E
2;NIA;0;S;I
2;VITPYRID;0;S;S
2;RIBF;0;F;E
2;THIA;0;F;E
2;VITB12;0;F;E
2;VITC;0;F;E
2;VITA;0;S;S
2;CAROTENS;0;S;S
2;VITD;0;F;E
2;VITE;0;S;S
2;VITK;0;S;K
2;CA;0,10;F;E
2;FE;0,070;F;E
2;ID;5,00;F;E
2;K;0,30;F;E
2;MG;0;F;E
2;NA;0,10;F;E
2;NACL;0,25;S;S
2;P;0,1;F;E
2;SE;0,500;D;AG
2;ZN;0,010;F;E
2;FAFRE;0;S;S
2;FAPU;0;S;S
2;FAMCIS;0;S;S
2;FASAT;0;S;S
2;FATRN;0;S;S
2;FAPUN3;0;S;S
2;FAPUN6;0;S;S
2;F18D2CN6;0;S;U
2;F18D3N3;0;S;U
2;F20D5N3;0;S;U
2;F22D6N3;0;S;U
2;TRP;0;S;IG
2;CHOLE;0;S;IG
2;STERT;0,50;S;S
3;ENERC;1261,40;S;S
3;CHOAVL;74,100;S;S
3;FAT;0;F;E
3;PROT;0,10;I;E
3;ALC;0;F;E
3;FIBC;0;S;U
3;OA;0;S;IG
3;SUGOH;0;L;P
3;STARCH;0;S;U
3;SUGAR;74,100;S;S
3;FRUS;21,700;I;E
3;GLUS;24,200;I;E
3;LACS;0;S;U
3;MALS;0;S;U
3;SUCS;28,200;I;E
3;PSACNCS;0;S;U
3;FIBINS;0;S;S
3;FOL;0;F;E
3;NIAEQ;0;S;S
3;NIA;0;S;I
3;VITPYRID;0;S;S
3;RIBF;0,010;F;E
3;THIA;0;F;E
3;VITB12;0;F;E
3;VITC;0;F;E
3;VITA;0;S;S
3;CAROTENS;0;S;S
3;VITD;0;F;E
3;VITE;0;S;S
3;VITK;0;S;IG
3;CA;74,00;F;E
3;FE;2,500;F;E
3;ID;5,00;F;E
3;K;220,00;F;E
3;MG;34,000;F;E
3;NA;50,00;I;E
3;NACL;127,40;S;S
3;P;2,0;F;E
3;SE;1,000;D;AG
3;ZN;0,130;F;E
3;FAFRE;0;S;S
3;FAPU;0;S;S
3;FAMCIS;0;S;S
3;FASAT;0;S;S
3;FATRN;0;S;S
3;FAPUN3;0;S;S
3;FAPUN6;0;S;S
3;F18D2CN6;0;S;U
3;F18D3N3;0;S;U
3;F20D5N3;0;S;U
3;F22D6N3;0;S;U
3;TRP;0;S;IG
3;CHOLE;0;S;IG
3;STERT;0;S;S
4;ENERC;1382,10;S;S
4;CHOAVL;80,800;S;S
4;FAT;0;F;E
4;PROT;0,50;S;S
4;ALC;0;F;E
4;FIBC;0;S;U
4;OA;0;S;IG
4;STARCH;0;S;U
4;SUGAR;80,800;S;S
4;FRUS;41,400;E;E
4;GLUS;37,900;E;E
4;LACS;0;S;U
4;MALS;0;S;U
4;SUCS;1,500;E;E
4;PSACNCS;0;S;U
4;FIBINS;0;S;S
4;FOL;0;F;E
4;NIAEQ;0,200;S;S
4;NIA;0,2;F;E
4;VITPYRID;0;S;S
4;RIBF;0,040;F;E
4;THIA;0,0100;F;E
4;VITB12;0;F;E
4;VITC;4,00;F;E
4;VITA;0;S;S
4;CAROTENS;0;S;S
4;VITD;0;F;E
4;VITE;0;S;S
4;VITK;0,020;F;E
4;CA;5,00;F;E
4;FE;0,500;F;E
4;ID;5,00;F;E
4;K;60,00;F;E
4;MG;3,000;F;E
4;NA;2,20;F;E
4;NACL;5,61;S;S
4;P;7,0;F;E
4;SE;0,500;D;AG
4;ZN;0,100;F;E
4;FAFRE;0;S;S
4;FAPU;0;S;S
4;FAMCIS;0;S;S
4;FASAT;0;S;S
4;FATRN;0;S;S
4;FAPUN3;0;S;S
4;FAPUN6;0;S;S
4;F18D2CN6;0;S;U
4;F18D3N3;0;S;U
4;F20D5N3;0;S;U
4;F22D6N3;0;S;U
4;TRP;0;S;IG
4;CHOLE;0;S;IG
4;STERT;0,50;S;S
5;ENERC;1487,50;S;S
5;CHOAVL;87,000;S;S
5;FAT;0;F;E
5;PROT;0,5;S;I
5;ALC;0;F;E
5;FIBC;0;S;U
5;SUGOH;0;S;CG
5;STARCH;33,50;S;IG
5;SUGAR;53,500;S;S
5;FRUS;0;S;U
5;GLUS;9,300;S;IG
5;LACS;0;S;U
5;MALS;6,80;S;IG
5;SUCS;37,4;S;CG
5;PSACNCS;0;S;U
5;FIBINS;0;S;S
5;FOL;0;F;E
5;NIAEQ;0;F;E
5;NIA;0;S;I
5;VITPYRID;0;S;S
5;RIBF;0;F;E
5;THIA;0;F;E
5;VITB12;0;F;E
5;VITC;0;F;E
5;VITA;0;S;S
5;CAROTENS;0;S;S
5;VITD;0;F;E
5;VITE;0;S;S
5;VITK;0;S;IG
5;CA;7,00;F;E
5;FE;1,450;F;E
5;ID;12,00;F;E
5;K;100,00;F;E
5;MG;28,000;F;E
5;NA;100,00;F;E
5;NACL;254,80;S;S
5;P;4,0;F;E
5;SE;1,000;D;A
5;ZN;0,290;F;E
5;FAFRE;0;S;S
5;FAPU;0;S;S
5;FAMCIS;0;S;S
5;FASAT;0;S;S
5;FATRN;0;S;S
5;FAPUN3;0;S;S
5;FAPUN6;0;S;S
5;F18D2CN6;0;S;U
5;F18D3N3;0;S;U
5;F20D5N3;0;S;U
5;F22D6N3;0;S;U
5;TRP;0;S;IG
5;CHOLE;0;S;U
5;STERT;1,70;S;S
6;ENERC;2180,61;S;S
6;CHOAVL;53,900;S;S
6;FAT;28,900;S;CG
6;PROT;10,13;S;S
6;ALC;0;F;E
6;FIBC;2,200;S;CG
6;OA;0,400;S;R
6;SUGOH;0;S;R
6;STARCH;3,00;S;IG
6;SUGAR;50,900;S;S
6;FRUS;1,600;S;IG
6;GALS;0;S;R
6;GLUS;1,700;S;IG
6;LACS;5,300;S;IG
6;MALS;0;S;U
6;SUCS;42,300;S;IG
6;PSACNCS;0,20;S;IG
6;FIBINS;2,00;S;S
6;FOL;7,00;F;E
6;NIAEQ;2,571;S;S
6;NIA;0,400;S;R
6;VITPYRID;0,08;S;S
6;RIBF;0,090;F;E
6;THIA;0,0700;F;E
6;VITB12;0;F;E
6;VITC;0;F;E
6;VITA;104,00;S;S
6;CAROTENS;49,8;S;S
6;VITD;0;F;E
6;VITE;0,480;S;S
6;VITK;1,100;S;R
6;CA;277,00;F;E
6;FE;1,500;F;E
6;ID;35,00;F;E
6;K;460,00;F;E
6;MG;67,000;F;E
6;NA;120,00;F;E
6;NACL;305,76;S;S
6;P;280,0;F;E
6;SE;2,000;D;A
6;ZN;1,800;F;E
6;FAFRE;26,998;S;R
6;FAPU;0,910;S;R
6;FAMCIS;9,0085;S;R
6;FASAT;17,0345;S;R
6;FATRN;0,0449;S;R
6;FAPUN3;0,0679;S;R
6;FAPUN6;0,842;S;R
6;F18D2CN6;842,146;S;R
6;F18D3N3;67,886;S;R
6;F20D5N3;0;S;R
6;F22D6N3;0;S;R
6;TRP;130,0;S;R
6;CHOLE;6,10;S;CG
6;STERT;83,70;S;CG
7;ENERC;1771,12;S;S
7;CHOAVL;69,600;S;S
7;FAT;13,400;L;P
7;PROT;5,22;S;S
7;ALC;0;F;E
7;FIBC;0;S;U
7;OA;0,260;S;R
7;SUGOH;0;S;R
7;STARCH;5,00;S;IG
7;SUGAR;64,600;S;S
7;FRUS;3,400;F;E
7;GALS;0;S;R
7;GLUS;6,700;F;E
7;LACS;1,000;S;IG
7;MALS;1,50;E;E
7;SUCS;52,000;F;E
7;PSACNCS;0;S;U
7;FIBINS;0;S;S
7;FOL;7,00;F;E
7;NIAEQ;1,310;S;R
7;NIA;0,218;S;R
7;VITPYRID;0,08;S;S
7;RIBF;0,260;F;E
7;THIA;0,0500;F;E
